100180	07/02/2009	134	The Studio	768.00	134.40	902.40
100181	09/02/2009	178	Tekno Company	1580.00	276.50	1856.50
100184	11/02/2009	178	Tekno Company	1900.00	332.50	2232.50
100185	11/02/2009	187	White & Sons	1345.00	235.38	1580.38
100187	12/02/2009	198	Car Mart	345.50	60.46	405.96
100189	13/02/2009	202	IC & JC Inc	500.00	87.50	587.50
100191	15/02/2009	294	Smith & Co	275.00	48.13	323.13
100193	15/02/2009	294	Smith & Co	1750.00	306.25	2056.25
100195	18/02/2009	345	J Jones	521.00	91.18	612.18
100197	23/02/2009	378	Greens	378.00	66.15	444.15
100199	25/02/2009	387	CIA Training Ltd	1580.00	276.50	1856.50
100202	26/02/2009	345	J Jones	500.00	87.50	587.50
